transaction_id,account_id,ticker_symbol,transaction_type,trade_date,settlement_date,quantity,price,net_amount
txn_9b94e8e0-9ec0-4434-9504-a264fc527859,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,AMZN,Dividend,2025-06-13,2025-06-15,0.0,0.0,158.4
txn_2756a8c2-3c63-4cee-9612-247808af9739,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,GOOGL,Sell,2025-05-27,2025-05-29,16.06,415.67,-6675.66
txn_9b0c6f15-d74a-431a-bc9b-6a4399ab5b19,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,GOOGL,Sell,2025-04-23,2025-04-25,65.77,409.32,-26920.98
txn_d9953d89-d1ab-42c6-bee5-e88f29a88850,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,BRK-B,Buy,2025-05-22,2025-05-24,2.86,228.06,652.25
txn_a122ba46-71c6-4b33-ae1e-19a09914f697,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,,Deposit,2025-05-14,2025-05-16,0.0,0.0,1158.93
txn_d8ec19da-b062-49d9-b31f-9889c57b3a0f,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,VNQ,Sell,2025-05-09,2025-05-11,69.0,361.21,-24923.49
txn_5f05f9ba-ae19-4513-965d-ab8c53e63b22,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,AGG,Dividend,2025-04-27,2025-04-29,0.0,0.0,330.95
txn_13d313ae-2bf4-45fc-b4cd-9b971d07a668,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,GLD,Dividend,2025-06-05,2025-06-07,0.0,0.0,616.77
txn_8bab7acc-b6d8-4aa0-a158-5323b2795b61,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,ETH-USD,Buy,2025-06-04,2025-06-06,64.51,422.97,27285.79
txn_2052c630-d92a-4240-956b-31a6e0f559ba,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,GLD,Buy,2025-05-24,2025-05-26,13.91,274.47,3817.88
txn_de1eec52-ccab-4aa6-897c-39391b2553fa,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,,Withdrawal,2025-05-13,2025-05-15,0.0,0.0,-4816.61
txn_df14c07f-c137-44e8-8ba8-4e5cb58d4b7e,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,,Deposit,2025-05-21,2025-05-23,0.0,0.0,1491.7
txn_dff296a1-54a8-4f73-bd74-ea67d7235065,acc_a1a8fcd9-c03b-47e0-b938-b3d94d110783,,Deposit,2025-05-10,2025-05-12,0.0,0.0,8539.32
